prompt_idx,rm_score_a,rm_score_B,margin,abs_margin,rm_winner,gpt_winner,is_match
0,1.296875,9.625,-8.328125,8.328125,DPO,DPO,True
1,5.625,1.3515625,4.2734375,4.2734375,SFT,SFT,True
2,9.5625,9.5625,0.0,0.0,SFT,DPO,False
3,2.953125,11.0625,-8.109375,8.109375,DPO,DPO,True
4,11.625,12.4375,-0.8125,0.8125,SFT,SFT,True
5,3.703125,4.1875,-0.484375,0.484375,SFT,DPO,False
6,11.375,11.375,0.0,0.0,DPO,Tie,False
7,8.25,8.6875,-0.4375,0.4375,SFT,DPO,False
8,6.0,5.78125,0.21875,0.21875,DPO,SFT,False
9,7.875,7.875,0.0,0.0,SFT,SFT,True
10,5.90625,5.90625,0.0,0.0,SFT,Tie,False
11,11.4375,11.4375,0.0,0.0,DPO,Tie,False
12,10.375,10.375,0.0,0.0,SFT,Tie,False
13,12.3125,12.3125,0.0,0.0,DPO,Tie,False
14,7.03125,7.03125,0.0,0.0,DPO,Tie,False
15,5.28125,3.65625,1.625,1.625,SFT,SFT,True
16,9.8125,11.25,-1.4375,1.4375,DPO,DPO,True
17,10.4375,11.0,-0.5625,0.5625,DPO,DPO,True
18,6.03125,6.5,-0.46875,0.46875,SFT,DPO,False
19,4.5,6.5,-2.0,2.0,DPO,SFT,False
20,7.03125,7.875,-0.84375,0.84375,DPO,DPO,True
21,6.4375,3.953125,2.484375,2.484375,DPO,SFT,False
22,11.375,11.5625,-0.1875,0.1875,DPO,DPO,True
23,8.8125,6.40625,2.40625,2.40625,DPO,DPO,True
24,11.0,10.0,1.0,1.0,DPO,DPO,True
25,8.0,8.4375,-0.4375,0.4375,SFT,DPO,False
26,9.25,9.875,-0.625,0.625,SFT,SFT,True
27,7.5,6.125,1.375,1.375,SFT,DPO,False
28,7.34375,9.5,-2.15625,2.15625,DPO,DPO,True
29,10.5,8.125,2.375,2.375,SFT,SFT,True
30,5.375,5.25,0.125,0.125,SFT,SFT,True
31,1.9296875,8.5,-6.5703125,6.5703125,DPO,SFT,False
32,1.625,5.15625,-3.53125,3.53125,DPO,DPO,True
33,2.71875,8.1875,-5.46875,5.46875,DPO,Tie,False
34,8.0625,6.75,1.3125,1.3125,DPO,DPO,True
35,8.3125,7.5,0.8125,0.8125,SFT,DPO,False
36,4.375,7.28125,-2.90625,2.90625,DPO,DPO,True
37,9.375,9.75,-0.375,0.375,DPO,SFT,False
38,8.25,9.5625,-1.3125,1.3125,SFT,SFT,True
39,5.0625,1.8828125,3.1796875,3.1796875,DPO,DPO,True
40,6.625,5.84375,0.78125,0.78125,SFT,DPO,False
41,6.4375,7.75,-1.3125,1.3125,DPO,SFT,False
42,7.625,6.875,0.75,0.75,SFT,SFT,True
43,8.125,9.1875,-1.0625,1.0625,DPO,SFT,False
44,8.625,3.296875,5.328125,5.328125,DPO,SFT,False
